item_group,n_events,mean_CAR_m1_p1,median_CAR_m1_p1,mean_CAR_0_p1,median_CAR_0_p1,mean_CAR_0_p5,median_CAR_0_p5,mean_CAR_m5_p5,median_CAR_m5_p5
earnings_or_results,208,0.00186474284848427,0.00261281202497503,0.001883906711442,-0.00106706702316533,-3.62416839890591e-05,-0.00248810506827579,0.00677309295364314,0.0067850842893412
other_events,147,-0.00211491381273348,-0.000788004975012147,-0.00233700455528308,-0.000269216274326746,-0.00331341008962109,0.00094687845574468,-0.00209821591910113,-1.42865554162985e-05
leadership_change,120,-0.00342307840647339,0.000373339041335153,-0.00140365664961141,0.00113577822371591,-0.000138667554434858,-0.00435895353493035,-0.00156450049032501,0.00590044147574022
material_agreement,12,0.0120289559476377,0.0169961725331089,0.0150150094535211,0.00879649351430042,0.0261261597882654,0.0225393837713626,0.00999893763902721,0.0152892897567681
debt_or_financing_obligation,5,0.00973141481848797,0.0107286202295221,0.0149485769319347,0.0102330222780557,0.030097494737014,0.0238184607521007,0.0474085008484791,0.0613795593249718
termination_of_material_agreement,4,0.0270250142109679,0.0182826104107235,0.0217368356208068,0.0229451161659963,0.0226646766228063,0.0139571958248915,0.0406345338976841,0.0513467466758202
merger_acquisition_asset_sale,4,-0.000726908532686192,0.00194396542396334,-0.00573324773794908,-0.00206306853654014,0.0218233771813602,0.0102175977213606,0.020422892837654,0.0211789575730837
